RequestID,Title,Amount,Date
A001,ค่าอินเทอร์เน็ตสำนักงาน,870.00,2025-09-12
A002,ค่ากาแฟ-ขนมส่วนกลาง,500.75,2025-10-01
B001,ค่าเช่าตึกสำนักงาน,40000.00,2025-09-27
B002,ค่าอุปกรณ์สำนักงาน,475.50,2025-08-10
C001,ค่าโดเมนเว็ปไซต์,420.00,2025-01-30
C002,ค่าซ่อมเก้าอี้ทำงาน,1250.00,2025-03-14
D001,ค่าไฟฟ้าเดือนกันยายน,3750.75,2025-09-28
D002,ค่าน้ำเดือนมกราคม,1500.00,2025-01-28
D003,ค่าอาหารกลางวันนอกสถานที่,750.00,2000-02-29
D004,ค่าเดินทางประชุมต่างจังหวัด,1850.00,2025-10-07
D005,ค่าสายแลนและอุปกรณ์เครือข่าย,940.50,2025-09-29
D006,ค่าพิมพ์เอกสาร,260.00,2025-10-02
D007,ค่าบำรุงรักษาเครื่องปรินต์,1350.00,2025-07-18
D008,ค่าอบรมพนักงาน,6500.00,2025-06-12
D009,ค่าสมทบประกันสังคม,9800.00,2025-10-01
D010,ค่าบริการกำจัดปลวก,2800.00,2025-08-22
